incident_id,date,vessel_name,description,fatalities,location
F001,2024-01-22,Cargo Ship Atlantis,"Vessel foundered in severe weather, hull breach from cargo shift, complete loss of vessel, all crew rescued",0,"North Atlantic, 42°N 28°W"
F002,2024-02-10,Fishing Vessel Mariner,"Boat capsized and sank in storm conditions, inadequate stability for heavy seas, 3 crew members lost",3,"North Sea, 57°N 2°E"
F003,2024-03-15,Bulk Carrier Titan Express,"Progressive flooding after grounding, vessel broke apart and sank, crew evacuated successfully",0,"East China Sea, 32°N 125°E"
F004,2024-04-08,MV Ocean Pride,"Foundered after collision with submerged object, rapid water ingress through hull damage",2,"Indian Ocean, 8°S 80°E"
F005,2024-05-20,Tanker Sea Star,"Engine failure in heavy weather led to beam seas position, vessel rolled and sank, partial crew rescue",5,"Bay of Biscay, 45°N 8°W"
F006,2024-06-12,Container Ship Navigator,"Cargo hold flooding from hatch failure, progressive list, vessel foundered, all crew saved",0,"South Atlantic, 30°S 15°W"
F007,2024-07-18,Fishing Trawler Hope,"Vessel overwhelmed by rogue wave, capsized and sank rapidly, 4 crew lost at sea",4,"Bering Sea, 56°N 172°W"
F008,2024-08-05,Bulk Carrier Freedom,"Structural failure in severe storm, hull cracked amidships, vessel broke up and sank",6,"Southern Ocean, 50°S 70°E"
F009,2024-09-01,Chemical Tanker Pacific,"Fire in engine room led to loss of power, vessel drifted and eventually sank, crew evacuated",1,"Gulf of Thailand, 10°N 100°E"
F010,2024-09-25,MV Northern Star,"Collision with reef in poor visibility, massive hull breach, foundered within 2 hours",3,"Caribbean Sea, 16°N 88°W"
F011,2024-10-15,Cargo Ship Enterprise,"Encountered typhoon, cargo shifted causing severe list, vessel capsized and sank",7,"Philippine Sea, 18°N 130°E"
F012,2024-02-28,Bulk Carrier Destiny,"Ballast system failure, loss of stability in rough seas, vessel rolled over and foundered",4,"North Pacific, 45°N 160°W"
F013,2024-04-20,Fishing Vessel Explorer,"Icing conditions caused top-heavy stability, capsized in freezing weather",2,"Barents Sea, 75°N 35°E"
F014,2024-06-30,Container Ship Horizon,"Hatch cover failure during storm, progressive flooding of multiple cargo holds, sank",0,"North Atlantic, 40°N 50°W"
F015,2024-08-22,Oil Tanker Prosperity,"Grounding led to hull breach and oil spill, vessel refloated but sank during tow",1,"Strait of Malacca, 2°N 100°E"
